W/L,Method,Frequency,Weight Class,Round of Comp.,Year
W,Choke from Back,270,94KG,8F,2015
W,Choke from Back,270,ABS,SPF,2015
W,Choke from Back,270,88KG,4F,2016
W,Choke from Back,270,ABS,R2,2016
W,Choke from Back,270,70KG,R2,2016
W,Choke from Back,270,70KG,R2,2016
W,Choke from Back,270,ABS,R2,2016
W,Choke from Back,270,94KG,SF,2017
W,Choke from Back,270,77KG,R1,2017
W,Choke from Back,270,82KG,8F,2018
W,Choke from Back,270,O70KG,F,2019
W,Choke from Back,270,82KG,4F,2019
W,Choke from Back,270,82KG,R1,2019
W,Choke from Back,270,82KG,R2,2019
W,Choke from Back,270,N/A,SPF,2019
W,Choke from Back,270,ABS,SF,2021
W,Choke From Back,270,ABS,SPF,1997
W,Choke From Back,270,64KG,F,1998
W,Choke From Back,270,70KG,SF,2002
W,Choke From Back,270,ABS,NA,2002
W,Choke From Back,270,ABS,NA,2002
W,Choke From Back,270,64KG,SF,2003
W,Choke From Back,270,82KG,4F,2004
W,Choke From Back,270,94KG,4F,2004
W,Choke From Back,270,O75KG,4F,2005
W,Choke From Back,270,100KG,SF,2005
W,Choke From Back,270,82KG,4F,2006
W,Choke From Back,270,ABS,4F,2006
W,Choke From Back,270,64KG,SF,2006
W,Choke From Back,270,70KG,R2,2006
W,Choke From Back,270,70KG,R2,2006
W,Choke From Back,270,94KG,F,2006
W,Choke From Back,270,100KG,4F,2006
W,Choke From Back,270,ABS,R1,2006
W,Choke From Back,270,ABS,SF,2006
W,Choke From Back,270,ABS,SF,2006
W,Choke From Back,270,88KG,SF,2007
W,Choke From Back,270,70KG,R1,2007
W,Choke From Back,270,70KG,R1,2007
W,Choke From Back,270,70KG,4F,2007
W,Choke From Back,270,70KG,4F,2007
W,Choke From Back,270,82KG,R1,2007
W,Choke From Back,270,100KG,4F,2007
W,Choke From Back,270,100KG,F,2007
W,Choke From Back,270,ABS,R1,2007
W,Choke From Back,270,ABS,F,2007
W,Choke From Back,270,ABS,4F,2008
W,Choke From Back,270,ABS,F,2008
W,Choke From Back,270,76KG,SF,2008
W,Choke From Back,270,88KG,R1,2008
W,Choke From Back,270,88KG,F,2008
W,Choke From Back,270,O100KG,4F,2008
W,Choke From Back,270,ABS,4F,2008
W,Choke From Back,270,ABS,R1,2009
W,Choke From Back,270,65KG,4F,2009
W,Choke From Back,270,65KG,4F,2009
W,Choke From Back,270,65KG,SF,2009
W,Choke From Back,270,65KG,SF,2009
W,Choke From Back,270,100KG,F,2009
W,Choke From Back,270,ABS,8F,2009
W,Choke From Back,270,ABS,8F,2009
W,Choke From Back,270,70KG,4F,2009
W,Choke From Back,270,70KG,4F,2009
W,Choke From Back,270,O100KG,R1,2009
W,Choke From Back,270,64KG,SPF,2010
W,Choke From Back,270,64KG,SF,2010
W,Choke From Back,270,65KG,SF,2010
W,Choke From Back,270,65KG,SF,2010
W,Choke From Back,270,65KG,F,2010
W,Choke From Back,270,92KG,SF,2010
W,Choke From Back,270,70KG,4F,2010
W,Choke From Back,270,70KG,4F,2010
W,Choke From Back,270,70KG,SF,2010
W,Choke From Back,270,70KG,SF,2010
W,Choke From Back,270,76KG,SF,2010
W,Choke From Back,270,100KG,SF,2010
W,Choke From Back,270,ABS,R2,2010
W,Choke From Back,270,70KG,R2,2010
W,Choke From Back,270,70KG,R2,2010
W,Choke From Back,270,70KG,R2,2010
W,Choke From Back,270,70KG,4F,2010
W,Choke From Back,270,70KG,SF,2010
W,Choke From Back,270,70KG,SF,2010
W,Choke From Back,270,70KG,SF,2010
W,Choke From Back,270,76KG,4F,2010
W,Choke From Back,270,100KG,R1,2010
W,Choke From Back,270,100KG,4F,2010
W,Choke From Back,270,100KG,4F,2010
W,Choke From Back,270,100KG,SF,2010
W,Choke From Back,270,ABS,R1,2010
W,Choke From Back,270,ABS,R2,2010
W,Choke From Back,270,ABS,4F,2010
W,Choke From Back,270,ABS,SF,2010
W,Choke From Back,270,76KG,SF,2011
W,Choke From Back,270,65KG,4F,2011
W,Choke From Back,270,ABS,F,2011
W,Choke From Back,270,O92,SF,2011
W,Choke From Back,270,70KG,F,2011
W,Choke From Back,270,94KG,4F,2012
W,Choke From Back,270,94KG,SF,2012
W,Choke From Back,270,ABS,4F,2012
W,Choke From Back,270,88KG,F,2012
W,Choke From Back,270,94KG,4F,2012
W,Choke From Back,270,O99KG,4F,2012
W,Choke From Back,270,ABS,R2,2012
W,Choke From Back,270,70KG,R3,2012
W,Choke From Back,270,70KG,R3,2012
W,Choke From Back,270,70KG,4F,2012
W,Choke From Back,270,70KG,SF,2012
W,Choke From Back,270,70KG,SF,2012
W,Choke From Back,270,82KG,8F,2012
W,Choke From Back,270,94KG,R2,2012
W,Choke From Back,270,94KG,SF,2012
W,Choke From Back,270,94KG,SF,2012
W,Choke From Back,270,ABS,NA,2012
W,Choke From Back,270,82KG,F,2012
W,Choke From Back,270,70KG,4F,2013
W,Choke From Back,270,70KG,4F,2013
W,Choke From Back,270,88KG,R2,2013
W,Choke From Back,270,94KG,F,2013
W,Choke From Back,270,ABS,R1,2013
W,Choke From Back,270,ABS,4F,2013
W,Choke From Back,270,88KG,4F,2013
W,Choke From Back,270,76KG,SF,2014
W,Choke From Back,270,76KG,4F,2014
W,Choke From Back,270,100KG,4F,2014
W,Choke From Back,270,O100KG,SF,2014
W,Choke From Back,270,94KG,GP,2014
W,Choke From Back,270,94KG,GP,2014
W,Choke From Back,270,94KG,SF,2014
W,Choke From Back,270,94KG,F,2014
W,Choke From Back,270,ABS,R1,2014
W,Choke From Back,270,ABS,R2,2014
W,Choke From Back,270,ABS,4F,2014
W,Choke From Back,270,100KG,4F,2014
W,Choke From Back,270,ABS,R2,2014
W,Choke From Back,270,ABS,R3,2014
W,Choke From Back,270,70KG,RDS,2014
W,Choke From Back,270,70KG,RDS,2014
W,Choke From Back,270,70KG,4F,2014
W,Choke From Back,270,70KG,SF,2014
W,Choke From Back,270,76KG,8F,2014
W,Choke From Back,270,88KG,4F,2014
W,Choke From Back,270,94KG,4F,2014
W,Choke From Back,270,100KG,4F,2014
W,Choke From Back,270,100KG,4F,2014
W,Choke From Back,270,O88KG,RDS,2014
W,Choke From Back,270,O100KG,F,2014
W,Choke From Back,270,82KG,SF,2014
W,Choke From Back,270,82KG,F,2014
W,Choke From Back,270,85KG,GP,2014
W,Choke From Back,270,ABS,SF,2014
W,Choke From Back,270,100KG,F,2014
W,Choke From Back,270,O85KG,RR,2014
W,Choke From Back,270,ABS,R2,2015
W,Choke From Back,270,ABS,SPF,2015
W,Choke From Back,270,76KG,4F,2015
W,Choke From Back,270,70Kg,4F,2015
W,Choke From Back,270,76KG,SPF,2015
W,Choke From Back,270,77KG,SF,2015
W,Choke From Back,270,ABS,SF,2016
W,Choke From Back,270,82KG,8F,2016
W,Choke From Back,270,ABS,8F,2016
W,Choke From Back,270,ABS,SF,2016
W,Choke From Back,270,ABS,SPF,2016
W,Choke From Back,270,70KG,R2,2016
W,Choke From Back,270,82KG,R2,2016
W,Choke From Back,270,94KG,R1,2016
W,Choke From Back,270,ABS,4F,2016
W,Choke From Back,270,94KG,4F,2016
W,Choke From Back,270,94KG,R1,2016
W,Choke From Back,270,76KG,SF,2016
W,Choke From Back,270,82KG,F,2016
W,Choke From Back,270,70KG,4F,2017
W,Choke From Back,270,70KG,4F,2017
W,Choke From Back,270,85KG,4F,2017
W,Choke From Back,270,94KG,F,2017
W,Choke From Back,270,70KG,4F,2017
W,Choke From Back,270,70KG,4F,2017
W,Choke From Back,270,82KG,4F,2017
W,Choke From Back,270,70KG,R1,2017
W,Choke From Back,270,70KG,R1,2017
W,Choke From Back,270,70KG,4F,2017
W,Choke From Back,270,70KG,4F,2017
W,Choke From Back,270,76KG,R1,2017
W,Choke From Back,270,76KG,4F,2017
W,Choke From Back,270,82KG,R1,2017
W,Choke From Back,270,76KG,8F,2017
W,Choke From Back,270,85KG,F,2017
W,Choke From Back,270,ABS,R1,2017
W,Choke From Back,270,ABS,SPF,2017
W,Choke From Back,270,82KG,4F,2017
W,Choke From Back,270,94KG,8F,2018
W,Choke From Back,270,82KG,SF,2018
W,Choke From Back,270,82KG,4F,2019
W,Points,979,76KG,SF,1996
W,Points,979,68KG,F,1985
W,Points,979,64KG,F,1986
W,Points,979,76KG,4F,1996
W,Points,979,76KG,F,1996
W,Points,979,88KG,4F,1996
W,Points,979,88KG,SF,1996
W,Points,979,88KG,SF,1996
W,Points,979,70KG,4F,1996
W,Points,979,70KG,F,1996
W,Points,979,70KG,SF,1997
W,Points,979,76KG,SF,1997
W,Points,979,82KG,SF,1997
W,Points,979,88KG,SF,1997
W,Points,979,ABS,R2,1997
W,Points,979,ABS,R2,1997
W,Points,979,ABS,4F,1997
W,Points,979,88KG,SF,1997
W,Points,979,88KG,F,1997
W,Points,979,N/A,SPF,1997
W,Points,979,76KG,SPF,1997
W,Points,979,N/A,SPF,1997
W,Points,979,99KG,R1,1998
W,Points,979,99KG,F,1998
W,Points,979,ABS,4F,1998
W,Points,979,ABS,4F,1998
W,Points,979,ABS,SF,1998
W,Points,979,ABS,F,1998
W,Points,979,76KG,F,1998
W,Points,979,61KG,F,1998
W,Points,979,70KG,SF,1998
W,Points,979,70KG,F,1998
W,Points,979,94KG,4F,1998
W,Points,979,94KG,F,1998
W,Points,979,100KG,4F,1998
W,Points,979,ABS,SF,1998
W,Points,979,74KG,SPF,1998
W,Points,979,70KG,R1,1999
W,Points,979,70KG,F,1999
W,Points,979,76KG,F,1999
W,Points,979,ABS,4F,1999
W,Points,979,76KG,F,1999
W,Points,979,88KG,SF,1999
W,Points,979,100KG,F,1999
W,Points,979,66KG,SF,1999
W,Points,979,99KG,4F,1999
W,Points,979,99KG,SF,1999
W,Points,979,ABS,SPF,1999
W,Points,979,64KG,F,2000
W,Points,979,76KG,SF,2000
W,Points,979,82KG,F,2000
W,Points,979,88KG,4F,2000
W,Points,979,88KG,SF,2000
W,Points,979,88KG,F,2000
W,Points,979,100KG,R1,2000
W,Points,979,100KG,4F,2000
W,Points,979,100KG,SF,2000
W,Points,979,100KG,F,2000
W,Points,979,O100KG,F,2000
W,Points,979,66KG,R1,2000
W,Points,979,66KG,4F,2000
W,Points,979,66KG,SF,2000
W,Points,979,66KG,F,2000
W,Points,979,77KG,R1,2000
W,Points,979,77KG,R1,2000
W,Points,979,77KG,4F,2000
W,Points,979,88KG,R1,2000
W,Points,979,88KG,R1,2000
W,Points,979,88KG,SF,2000
W,Points,979,75KG,SPF,2000
W,Points,979,NA,SPF,2000
W,Points,979,75KG,SPF,2000
W,Points,979,ABS,SPF,2000
W,Points,979,77KG,SF,2000
W,Points,979,77KG,F,2000
W,Points,979,87KG,F,2001
W,Points,979,66KG,SF,2001
W,Points,979,66KG,F,2001
W,Points,979,66KG,3PLC,2001
W,Points,979,77KG,4F,2001
W,Points,979,77KG,SF,2001
W,Points,979,88KG,R1,2001
W,Points,979,88KG,4F,2001
W,Points,979,88KG,3PLC,2001
W,Points,979,ABS,R1,2001
W,Points,979,ABS,R1,2001
W,Points,979,ABS,F,2001
W,Points,979,76KG,4F,2001
W,Points,979,82KG,4F,2001
W,Points,979,82KG,F,2001
W,Points,979,88KG,4F,2001
W,Points,979,88KG,SF,2001
W,Points,979,ABS,R1,2001
W,Points,979,ABS,4F,2001
W,Points,979,ABS,SF,2001
W,Points,979,ABS,F,2001
W,Points,979,70KG,F,2001
W,Points,979,73KG,F,2001
W,Points,979,ABS,SPF,2002
W,Points,979,73KG,F,2002
W,Points,979,64KG,F,2002
W,Points,979,76KG,4F,2002
W,Points,979,88KG,4F,2002
W,Points,979,88KG,SF,2002
W,Points,979,88KG,F,2002
W,Points,979,O100KG,4F,2002
W,Points,979,ABS,4F,2002
W,Points,979,ABS,4F,2002
W,Points,979,ABS,SF,2002
W,Points,979,ABS,SF,2002
W,Points,979,ABS,F,2002
W,Points,979,ABS,4F,2002
W,Points,979,O88KG,F,2002
W,Points,979,O88KG,F,2002
W,Points,979,ABS,SF,2002
W,Points,979,O88KG,4F,2003
W,Points,979,O88KG,4F,2003
W,Points,979,77KG,R1,2003
W,Points,979,77KG,R1,2003
W,Points,979,66KG,4F,2003
W,Points,979,66KG,SF,2003
W,Points,979,66KG,F,2003
W,Points,979,66KG,3PLC,2003
W,Points,979,77KG,R1,2003
W,Points,979,77KG,4F,2003
W,Points,979,77KG,4F,2003
W,Points,979,77KG,3PLC,2003
W,Points,979,88KG,R1,2003
W,Points,979,88KG,4F,2003
W,Points,979,88KG,F,2003
W,Points,979,99KG,R1,2003
W,Points,979,99KG,R1,2003
W,Points,979,99KG,4F,2003
W,Points,979,99KG,4F,2003
W,Points,979,99KG,3PLC,2003
W,Points,979,O99KG,R1,2003
W,Points,979,O99KG,R1,2003
W,Points,979,O99KG,4F,2003
W,Points,979,O99KG,4F,2003
W,Points,979,O99KG,F,2003
W,Points,979,ABS,R1,2003
W,Points,979,ABS,4F,2003
W,Points,979,ABS,3PLC,2003
W,Points,979,73KG,SF,2003
W,Points,979,ABS,SF,2003
W,Points,979,ABS,F,2003
W,Points,979,O100KG,R1,2003
W,Points,979,O100KG,4F,2003
W,Points,979,O100KG,SF,2003
W,Points,979,O100KG,SF,2003
W,Points,979,O100KG,F,2003
W,Points,979,82KG,R1,2003
W,Points,979,82KG,4F,2003
W,Points,979,82KG,4F,2003
W,Points,979,76KG,R1,2003
W,Points,979,76KG,SF,2003
W,Points,979,70KG,F,2003
W,Points,979,64KG,F,2003
W,Points,979,76KG,SPF,2003
W,Points,979,O100KG,SPF,2003
W,Points,979,70KG,F,2003
W,Points,979,82KG,4F,2003
W,Points,979,82KG,SF,2003
W,Points,979,O100KG,SF,2003
W,Points,979,O100KG,SF,2003
W,Points,979,64KG,SPF,2004
W,Points,979,82KG,SPF,2004
W,Points,979,82KG,SPF,2004
W,Points,979,94KG,SF,2004
W,Points,979,64KG,SF,2004
W,Points,979,70KG,SF,2004
W,Points,979,70KG,F,2004
W,Points,979,82KG,F,2004
W,Points,979,ABS,8F,2004
W,Points,979,ABS,4F,2004
W,Points,979,ABS,F,2004
W,Points,979,82KG,SF,2004
W,Points,979,94KG,F,2004
W,Points,979,ABS,F,2004
W,Points,979,ABS,SF,2004
W,Points,979,70KG,F,2004
W,Points,979,82KG,F,2004
W,Points,979,94KG,F,2004
W,Points,979,100KG,SF,2004
W,Points,979,O100KG,4F,2004
W,Points,979,O100KG,SF,2004
W,Points,979,O100KG,SF,2004
W,Points,979,O100KG,F,2004
W,Points,979,ABS,4F,2004
W,Points,979,70KG,F,2004
W,Points,979,82KG,SF,2004
W,Points,979,82KG,F,2004
W,Points,979,94KG,4F,2004
W,Points,979,100KG,F,2004
W,Points,979,82KG,SPF,2004
W,Points,979,70KG,R1,2004
W,Points,979,ABS,N/A,2005
W,Points,979,ABS,4F,2005
W,Points,979,ABS,4F,2005
W,Points,979,ABS,SF,2005
W,Points,979,ABS,F,2005
W,Points,979,77KG,SF,2005
W,Points,979,77KG,SF,2005
W,Points,979,82KG,F,2005
W,Points,979,ABS,F,2005
W,Points,979,66KG,R1,2005
W,Points,979,66KG,R1,2005
W,Points,979,66KG,F,2005
W,Points,979,77KG,SF,2005
W,Points,979,88KG,R1,2005
W,Points,979,88KG,4F,2005
W,Points,979,99KG,4F,2005
W,Points,979,99KG,3PLC,2005
W,Points,979,O99KG,R1,2005
W,Points,979,O99KG,4F,2005
W,Points,979,O99KG,4F,2005
W,Points,979,O99KG,3PLC,2005
W,Points,979,O100KG,SF,2005
W,Points,979,O100KG,F,2005
W,Points,979,100KG,4F,2005
W,Points,979,100KG,F,2005
W,Points,979,82KG,4F,2005
W,Points,979,82KG,4F,2005
W,Points,979,70KG,SF,2005
W,Points,979,70KG,SF,2005
W,Points,979,70KG,F,2005
W,Points,979,70KG,F,2005
W,Points,979,O75KG,SF,2005
W,Points,979,O75KG,F,2005
W,Points,979,O75KG,4F,2005
W,Points,979,64KG,4F,2005
W,Points,979,64KG,F,2005
W,Points,979,76KG,SF,2005
W,Points,979,76KG,F,2005
W,Points,979,88KG,SF,2005
W,Points,979,100KG,F,2005
W,Points,979,ABS,R1,2005
W,Points,979,70KG,F,2006
W,Points,979,76KG,SF,2006
W,Points,979,82KG,R1,2006
W,Points,979,100KG,F,2006
W,Points,979,ABS,4F,2006
W,Points,979,ABS,4F,2006
W,Points,979,ABS,SF,2006
W,Points,979,70KG,4F,2006
W,Points,979,70KG,SF,2006
W,Points,979,70KG,F,2006
W,Points,979,70KG,F,2006
W,Points,979,76KG,R1,2006
W,Points,979,76KG,4F,2006
W,Points,979,76KG,4F,2006
W,Points,979,76KG,4F,2006
W,Points,979,76KG,SF,2006
W,Points,979,76KG,F,2006
W,Points,979,82KG,R1,2006
W,Points,979,82KG,R1,2006
W,Points,979,82KG,4F,2006
W,Points,979,82KG,4F,2006
W,Points,979,82KG,F,2006
W,Points,979,88KG,F,2006
W,Points,979,ABS,4F,2006
W,Points,979,ABS,4F,2006
W,Points,979,ABS,F,2006
W,Points,979,82KG,F,2006
W,Points,979,ABS,SPF,2006
W,Points,979,ABS,SPF,2006
W,Points,979,82KG,F,2006
W,Points,979,ABS,4F,2006
W,Points,979,ABS,F,2006
W,Points,979,88KG,4F,2006
W,Points,979,ABS,4F,2007
W,Points,979,76KG,R1,2007
W,Points,979,76KG,SF,2007
W,Points,979,81KG,4F,2007
W,Points,979,81KG,SF,2007
W,Points,979,76KG,F,2007
W,Points,979,100KG,SF,2007
W,Points,979,100KG,F,2007
W,Points,979,64KG,F,2007
W,Points,979,70KG,4F,2007
W,Points,979,70KG,4F,2007
W,Points,979,70KG,4F,2007
W,Points,979,70KG,SF,2007
W,Points,979,70KG,SF,2007
W,Points,979,70KG,SF,2007
W,Points,979,70KG,F,2007
W,Points,979,70KG,F,2007
W,Points,979,88KG,SF,2007
W,Points,979,88KG,F,2007
W,Points,979,100KG,F,2007
W,Points,979,ABS,SF,2007
W,Points,979,ABS,F,2007
W,Points,979,88KG,F,2007
W,Points,979,77KG,F,2007
W,Points,979,88KG,4F,2007
W,Points,979,99KG,SF,2007
W,Points,979,ABS,R1,2007
W,Points,979,ABS,3PLC,2007
W,Points,979,66KG,R1,2007
W,Points,979,66KG,4F,2007
W,Points,979,66KG,SF,2007
W,Points,979,77KG,3PLC,2007
W,Points,979,88KG,R1,2007
W,Points,979,99KG,SF,2007
W,Points,979,99KG,F,2007
W,Points,979,O99KG,4F,2007
W,Points,979,O99KG,SF,2007
W,Points,979,O99KG,3PLC,2007
W,Points,979,ABS,SPF,2007
W,Points,979,64KG,4F,2007
W,Points,979,64KG,F,2007
W,Points,979,70KG,SF,2007
W,Points,979,70KG,SF,2007
W,Points,979,88KG,4F,2007
W,Points,979,88KG,SF,2007
W,Points,979,88KG,F,2007
W,Points,979,94KG,SF,2007
W,Points,979,O100KG,4F,2007
W,Points,979,ABS,R1,2007
W,Points,979,ABS,4F,2007
W,Points,979,ABS,4F,2007
W,Points,979,ABS,SF,2007
W,Points,979,76KG,4F,2007
W,Points,979,76KG,F,2007
W,Points,979,100KG,4F,2007
W,Points,979,70KG,F,2007
W,Points,979,70KG,F,2007
W,Points,979,ABS,R1,2007
W,Points,979,ABS,4F,2007
W,Points,979,ABS,4F,2007
W,Points,979,ABS,GP,2007
W,Points,979,ABS,8F,2008
W,Points,979,76KG,4F,2008
W,Points,979,76KG,F,2008
W,Points,979,82KG,SF,2008
W,Points,979,88KG,SF,2008
W,Points,979,76KG,F,2008
W,Points,979,70KG,4F,2008
W,Points,979,76KG,R1,2008
W,Points,979,76KG,R2,2008
W,Points,979,76KG,SF,2008
W,Points,979,76KG,F,2008
W,Points,979,88KG,SF,2008
W,Points,979,94KG,SF,2008
W,Points,979,94KG,F,2008
W,Points,979,100KG,SF,2008
W,Points,979,100KG,F,2008
W,Points,979,O100KG,SF,2008
W,Points,979,ABS,R2,2008
W,Points,979,ABS,R2,2008
W,Points,979,ABS,SF,2008
W,Points,979,ABS,SF,2008
W,Points,979,ABS,F,2008
W,Points,979,76KG,F,2008
W,Points,979,76KG,F,2008
W,Points,979,88KG,4F,2008
W,Points,979,88KG,SF,2008
W,Points,979,88KG,F,2008
