Method,Frequency
Choke from Back,270
Armbar,223
RNC,84
Triangle,74
Submission,61
Cross Choke,44
Kimura,36
Mounted X Choke,30
Bow And Arrow,25
Kneebar,24
Wristlock,23
Brabo Choke,20
Guillotine,19
Omoplata,18
Americana,15
Ezekiel,15
Arm Triangle,12
Baseball Choke,12
Heel Hook,10
North South Choke,10
Toe Hold,9
Clock Choke,8
Injury,8
Triangle Armbar,8
Botinha,7
Arm In Ezekiel,6
Pen,6
Amassa Pao Choke,4
Darce Choke,4
Flying Triangle,4
Inverted Triangle,4
Bread Cutter,3
Footlock,3
Inverted Armbar,3
Short Choke,3
Shoulder Pressure,3
Anaconda,2
Arm In Guillotine,2
Choke From Mount,2
Collar Choke,2
Dogbar,2
Estima Lock,2
Knee On Belly,2
Lapel Choke,2
Leglock,2
Bread Slicer,1
Calf Slicer,1
Choke F/ Omoplata,1
Copacabana Choke,1
Crucifix Choke,1
Flying Armbar,1
Gogoplata,1
Guillotina,1
Inside Heel Hook,1
Kimura/Triangle,1
Knee Ride,1
Monoplata,1
Mounted Triangle,1
Shoulder Lock,1
Standing Brabo Choke,1
Straight Ankle Lock,1
Straight Armlock,1
Triangle-Armbar,1
Violin Armlock,1